Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop
850;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5018_purple_L;;4250781840906;;25.500000;0.000000;0.00;4;0;0;0;;;0;
850;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5018_purple_M;;4250781840890;;25.500000;0.000000;0.00;0;1;0;0;;;0;
850;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5018_purple_S;;4250781840883;;25.500000;0.000000;0.00;5;1;0;1;;;0;
851;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5018_black_L;;4250781840937;;25.500000;0.000000;0.00;3;0;0;0;;;0;
851;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5018_black_M;;4250781840920;;25.500000;0.000000;0.00;6;1;0;0;;;0;
851;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5018_black_S;;4250781840913;;25.500000;0.000000;0.00;4;1;0;1;;;0;
852;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5019_beige_L;;4250781840968;;25.000000;0.000000;0.00;4;0;0;0;;;0;
852;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5019_beige_M;;4250781840951;;25.000000;0.000000;0.00;4;1;0;0;;;0;
852;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5019_beige_S;;4250781840944;;25.000000;0.000000;0.00;3;1;0;1;;;0;
853;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5019_black_L;;4250781840999;;25.000000;0.000000;0.00;5;0;0;0;;;0;
853;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5019_black_M;;4250781840982;;25.000000;0.000000;0.00;5;1;0;0;;;0;
853;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5019_black_S;;4250781840975;;25.000000;0.000000;0.00;4;1;0;1;;;0;
854;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5019_purple_L;;4250781841026;;25.000000;0.000000;0.00;5;0;0;0;;;0;
854;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5019_purple_M;;4250781841019;;25.000000;0.000000;0.00;5;1;0;0;;;0;
854;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5019_purple_S;;4250781841002;;25.000000;0.000000;0.00;4;1;0;1;;;0;
855;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5019_red_L;;4250781841057;;25.000000;0.000000;0.00;5;0;0;0;;;0;
855;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5019_red_M;;4250781841040;;25.000000;0.000000;0.00;5;1;0;0;;;0;
855;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5019_red_S;;4250781841033;;25.000000;0.000000;0.00;6;1;0;1;;;0;
856;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5020_black_L;;4250781841088;;25.500000;0.000000;0.00;5;0;0;0;;;0;
856;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5020_black_M;;4250781841071;;25.500000;0.000000;0.00;4;1;0;0;;;0;
856;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5020_black_S;;4250781841064;;25.500000;0.000000;0.00;4;1;0;1;;;0;
857;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5020_green_L;;4250781841118;;25.500000;0.000000;0.00;3;0;0;0;;;0;
