ID;Aktiv;Image;Preis inkl. Steuern;Einkaufspreis;Hersteller-Artikelnummer.;Auf Lager;Name;Lieferant;Standort;Preis inklusive % Reduktion;Reduktion %;Reduktionshöhe;Preis inklusive Reduktion;Rabatt startet;Rabattende;Preis exklusive Steuern;Pos.;Steuerregel
3790;Nein;--;136.85;54.00;0394_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
3716;Nein;--;153.51;58.00;0350_Ghost Grey;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3791;Nein;--;160.65;64.00;0388_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;135.00;-;19%
3718;Nein;--;153.51;58.00;0350_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3792;Nein;--;184.45;86.00;0387_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;155.00;-;19%
3719;Nein;--;136.85;52.00;0349_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
3793;Nein;--;189.21;79.00;0386_Ghost Gray;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3720;Nein;--;136.85;52.00;0349_Aqua Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
3794;Nein;--;177.31;68.00;0404_Pearl Pink;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3721;Nein;--;136.85;52.00;0349_Posy Green;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
3795;Nein;--;153.51;63.00;0402_Posy Green;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3722;Nein;--;136.85;52.00;0349_French Vanilla;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
3796;Nein;--;153.51;63.00;0402_Rio Red;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3761;Nein;--;177.31;70.00;0390_Pearl Pink;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3797;Nein;--;153.51;63.00;0402_Ghost Grey;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3762;Nein;--;201.11;86.00;0385_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;169.00;-;19%
3798;Nein;--;129.71;47.00;0401_Dawn Pink;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;109.00;-;19%
3763;Nein;--;201.11;88.00;0383_Macadamia Nut;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;169.00;-;19%
3799;Nein;--;141.61;53.00;0400_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
